cliente_id,risco_regras,risco_agente,concorda,distancia,ops_fracionamento,ops_valor_atipico,tipologia_agente,justificativa_agente
CLI-029,alto,baixo,False,2,4,0,nenhuma identificada,"O cliente realizou 16 operações entre 11/03/2026 e 26/05/2026, totalizando R$191.4 mil com mediana de R$10.3 mil. A única ocorrência de possível fracionamento foi em 26/05/2026, com quatro operações de R$14,3k a R$19,4k, representando 37% do volume diário, mas sem valores extremos nem padrão de uso de espécie (apenas 7,8% do volume total). O perfil de canal mostra predominância de TED (72% do volume) e diversificação de 15 contrapartes distintas, reduzindo a concentração de risco. Não foram detectados valores atípicos nem outras irregularidades."
CLI-017,alto,medio,False,1,4,0,possível estruturação (fracionamento) de transações,"O histórico do cliente CLI-017 mostra 13 operações no período de 08/03 a 24/05/2026, totalizando R$121,391.37. O algoritmo de regra detectou possível fracionamento em 08/03/2026, onde foram realizadas 4 operações somando R$64,673.88 (maior operação do dia R$18,761.22). Embora não haja valores atípicos isolados, a concentração de quase metade do volume em pix (49.3%) e mais de um quarto em ted (27.3%) indica uso intensivo de canais eletrônicos. O alto número de contrapartes distintas (12) reduz risco de concentração, mas o pico diário representa mais de 53% do volume total, justificando atenção."
CLI-002,alto,alto,True,0,4,0,Estruturação (fracionamento) de operações via Pix,"O cliente CLI-002 realizou 14 operações no período analisado, totalizando R$107,965.38 com mediana de R$5,448.60. No dia 2026-05-01, foram registradas 4 operações que somaram R$64,723.09 (~60% do volume total), todas via Pix ou TED, com valores entre R$14,742.36 e R$17,998.60, atendendo à regra de possível fracionamento. O perfil de canal mostra alta dependência de Pix (46.9% do volume) e TED (30.2%). Esses indícios sugerem tentativa de estruturação de valores, justificando o risco alto."
CLI-003,alto,medio,False,1,4,0,possível fracionamento de operações em um único dia e uso intensivo de espécie,"O cliente realizou 14 operações no período analisado, totalizando 102.241,09 BRL com mediana de 4.090,03 BRL. O volume em espécie representa 36,1% do total, o que indica uso relevante de dinheiro físico. No dia 2026-05-02, foram registradas 4 operações somando 50.846,72 BRL (48,7% do volume total), distribuídas entre pix (18.631,47 BRL) e TED (30.215,78 BRL), acionando a regra de possível fracionamento. Não há outras anomalias de valor atípico ou repetição de contrapartes, mas a concentração de volume e o alto percentual de espécie justificam atenção moderada."
CLI-014,alto,medio,False,1,0,3,Uso de Pix e TED para movimentação de valores elevados – potencial estrutura de lavagem digital,"O cliente CLI-014 realizou 11 operações no período analisado, totalizando R$80.629,99 com mediana de R$2.308,41. Três operações foram destacadas pelas regras como atípicas por valores superiores (R$23.640,97, R$13.660,65 e R$21.064,59), todas via Pix ou TED. O perfil de canal mostra que quase metade do volume (49,3%) ocorreu por Pix, com outra parcela significativa (32,4%) por TED, indicando uso intensivo de canais digitais para grandes valores, o que, associado aos valores atípicos, levanta suspeita de estrutura de lavagem."
CLI-023,alto,alto,True,0,0,2,Possível estrutura de lavagem via depósito em espécie e transferência eletrônica de valores elevados,"O cliente realizou 12 operações no período analisado, totalizando R$148.535,02, com mediana de R$3.241,16. Dois eventos foram classificados como atípicos: um depósito em espécie de R$41.768,17 e uma transferência TED de R$65.417,17, representando 28,1% e 51,8% do volume total, respectivamente. O perfil de canal confirma a alta concentração em espécie e TED, indicadores típicos de potencial estrutura de lavagem. Não foram identificados dias de fracionamento, porém a combinação de grandes valores em espécie e transferências eletrônicas eleva o risco."
CLI-028,alto,medio,False,1,0,2,Operações atípicas de alto valor via TED,"O cliente realizou 12 operações no período de 03/03/2026 a 23/05/2026, totalizando 88.750,8 BRL com mediana de 4.430,25 BRL. Duas transações foram apontadas como atípicas (27.715,48 BRL enviada e 24.875,39 BRL recebida via TED), representando mais de 60% do volume total individualmente. O perfil de canal mostra que 69,6% do volume foi movimentado por TED, enquanto não há uso de espécie. Não há dias de possível fracionamento, mas o volume concentrado em altas transferências TED e a ausência de contrapartes recorrentes sugerem risco médio."
CLI-013,alto,alto,True,0,0,2,Operações atípicas de alto valor via TED para contrapartes corporativas,"O histórico do cliente CLI-013 mostra 10 operações entre 06/03/2026 e 16/05/2026, totalizando 81,730.99 BRL com mediana de 3,146.22 BRL. Dois registros foram sinalizados como valores atípicos (OP-00310 = 28,487.76 BRL – saque via TED – Lumen Servicos LTDA e OP-00309 = 26,754.23 BRL – depósito via TED – Gama Consultoria SA), representando quase todo o volume TED (68% do total). Não há indícios de fracionamento, mas a concentração de grandes valores em poucas operações TED indica risco elevado de lavagem de dinheiro."
CLI-005,alto,medio,False,1,0,2,Transações atípicas em espécie e cartão com valores elevados e alta diversidade de contrapartes,"O cliente CLI-005 realizou 11 operações no período analisado, totalizando R$64.742,66, com mediana de R$2.144,18. Destaca-se que 23,2% do volume (R$15.013,22) foi movimentado em espécie, incluindo uma operação de R$11.988,17 para a contraparte Vertice Trading SA, flagrada como atípica. Além disso, 48,1% do volume (R$31.153,13) corresponde a um pagamento em cartão de R$30.743,97 para Cristal Comercio SA, também identificado como atípico. A presença de 10 contrapartes distintas em apenas 11 transações indica alta dispersão de parceiros comerciais, reforçando o cenário de possíveis práticas suspeitas."
CLI-026,alto,medio,False,1,0,2,possível uso indevido de pix e retiradas em espécie de alto valor,"O cliente realizou 12 operações no período de 01/03 a 17/05/2026, totalizando R$54.729,28 com mediana de R$2.032,93. As regras determinísticas identificaram duas operações atípicas de alto valor (R$21.261,01 em pix e R$12.518,30 em saque via cartão). O perfil de canal mostra que 43,2% do volume provém de pix e 21,4% de espécie, indicando concentração incomum em canais de maior risco. Não foram detectados dias de possível fracionamento, mas a combinação de valores elevados e alta concentração de pix justifica o nível de risco médio."
